AK,1368
AL,5596
AR,3448
AZ,9700
CA,49703
CO,6545
CT,3660
DC,7935
DE,1468
FL,31743
GA,11664
HI,2060
IA,2550
ID,1310
IL,10883
IN,6354
KS,3518
KY,3976
LA,7084
MA,7688
MD,5910
ME,1763
MI,9645
MN,4764
MO,4015
MS,2085
MT,1020
NC,10091
ND,559
NE,2106
NH,1242
NJ,9264
NM,1657
NV,4386
NY,34161
OH,11547
OK,3362
OR,6492
PA,12451
PR,997
RI,1237
SC,4680
SD,621
TN,7185
TX,35849
UT,2118
VA,8346
VT,628
WA,10076
WI,4249
WV,856
WY,370
